Squad,Coordinate,Time (minutes)
,,
Squad 1,"(33.29450024638926, -60.6690459147886)",0
Squad 1,"(33.293906821581565, -60.66916310404129)",5
Squad 1,"(33.29384294029429, -60.66936279092846)",8
Squad 1,"(33.29431915877953, -60.66995792001013)",7
Squad 1,"(33.29447666325491, -60.66826311175569)",10
Squad 1,"(33.29462698601455, -60.66858554755453)",6
Squad 1,"(33.29462698601455, -60.66858554755453)",5
,,
Squad 2,"(33.29450024638926, -60.6690459147886)",0
Squad 2,"(33.29453533065265, -60.66875919795862)",11
Squad 2,"(33.29389515054816, -60.66897811730004)",8
Squad 2,"(33.293629684536526, -60.66959867903157)",15
Squad 2,"(33.294057475810774, -60.66998091047672)",9
Squad 2,"(33.29435348509176, -60.66782674284426)",10
,,
Squad 3,"(33.29450024638926, -60.6690459147886)",0
Squad 3,"(33.2948782452946, -60.66917479057685)",10
Squad 3,"(33.29479199365044, -60.66901415523316)",12
Squad 3,"(33.2936430792231, -60.66861413648328)",7
Squad 3,"(33.29339563894555, -60.66984497392211)",8
Squad 3,"(33.2943947829814, -60.67016883361644)",14
